DNA India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0
Die Welt,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Die ZEIT,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Drudge Report,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0
EL PAÍS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
ESPN,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
El Mundo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
El Periódico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Euronews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0
FAZ.NET,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Financial Times,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
FiveThirtyEight,,,70.0,70.0,70.0,70.0,70.0,70.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,70.0,100.0,100.0,100.0,100.0
Focus,,,,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Forbes,0.0,50.0,85.0,85.0,95.0,95.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0
Fortune,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Fox News,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
France 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0
Gizmodo Media,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,85.0,85.0,85.0,85.0,85.0
Global Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golem.de,,,,70.0,80.0,80.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Heise Online,,,,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,80.0,80.0
Hindustan Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,30.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Hong Kong Free Press,,,,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Huffington Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,80.0,80.0,80.0,80.0,80.0,80.0
Il Sole 24 Ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,70.0,70.0
India Times,30.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,,,30.0,70.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Infobae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,80.0,95.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Jornal O Globo,,,,,,,70.0,50.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
La Gazzetta dello Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
La Stampa,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,70.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
La Vanguardia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0
Le Monde.fr,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0
Le Temps,,,,95.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Los Angeles Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.0,30.0,30.0,30.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
MSNBC,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,50.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,70.0,70.0
Mail Online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0
Marshall Project,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mashable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,50.0,50.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Mathrubhumi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0
